id;relid;year;active_year;code_status;type_of_violence;conflict_dset_id;conflict_new_id;conflict_name;dyad_dset_id;dyad_new_id;dyad_name;side_a_dset_id;side_a_new_id;side_a;side_b_dset_id;side_b_new_id;side_b;number_of_sources;source_article;source_office;source_date;source_headline;source_original;where_prec;where_coordinates;where_description;adm_1;adm_2;latitude;longitude;geom_wkt;priogrid_gid;country;country_id;region;event_clarity;date_prec;date_start;date_end;deaths_a;deaths_b;deaths_civilians;deaths_unknown;best;high;low;gwnoa;gwnob
561969;DRC-2024-3-934-41;2024;TRUE;Clear;3;89;467;Government of DR Congo (Zaire) - Civilians;89;934;Government of DR Congo (Zaire) - Civilians;89;89;Government of DR Congo (Zaire);9999;1;Civilians;1;"""Kivu Morning Post,2024-01-05,South Kivu: High tension in Kavumu the day after a civilian was beaten by a FARDC soldier - Kivu Morning Post""";Kivu Morning Post;05/01/2024;South Kivu: High tension in Kavumu the day after a civilian was beaten by a FARDC soldier - Kivu Morning Post;Cikuru Mugaruka, one of the demonstrators;1;Kavumu village;Kavumu;Sud Kivu province;Kabare territory;-2.290110;28.791050;POINT (28.79105 -2.29011);126418;DR Congo (Zaire);490;Africa;1;1;2024-01-04 00:00:00.000;2024-01-04 00:00:00.000;0;0;1;0;1;1;1;490;
565256;DRC-2024-3-934-48;2024;TRUE;Clear;3;89;467;Government of DR Congo (Zaire) - Civilians;89;934;Government of DR Congo (Zaire) - Civilians;89;89;Government of DR Congo (Zaire);9999;1;Civilians;1;"""La Prunelle RDC,2024-01-04,Maniema : une femme tuée par un militaire FARDC à Kabambare""";La Prunelle RDC;04/01/2024;Maniema : une femme tuée par un militaire FARDC à Kabambare;"Action for the Restoration of Peace and Justice"" (ARPJ)";1;Lukolo village;Lukolo, Benyabemba group, Babuyu sector, Kabambare territory in Maniema province.;Maniema province;Kabambare territory;-4.933583;28.733333;POINT (28.733333 -4.933583);122818;DR Congo (Zaire);490;Africa;1;1;2024-01-04 00:00:00.000;2024-01-04 00:00:00.000;0;0;1;0;1;1;1;490;
511771;DRC-2024-3-934-2;2024;TRUE;Clear;3;89;467;Government of DR Congo (Zaire) - Civilians;89;934;Government of DR Congo (Zaire) - Civilians;89;89;Government of DR Congo (Zaire);9999;1;Civilians;1;"""buniaactualité.cd,2024-01-20,Mahagi: a girl shot in Djalasiga""";buniaactualité.cd;20/01/2024;Mahagi: a girl shot in Djalasiga;buniactualite.cd;1;Djalasiga village;Djalasiga shopping center in Mahagi territory;Ituri province;Mahagi territory;2.573500;30.549001;POINT (30.549001 2.5735001);133622;DR Congo (Zaire);490;Africa;1;1;2024-01-19 00:00:00.000;2024-01-19 00:00:00.000;0;0;1;0;1;1;1;490;
511488;DRC-2024-3-934-1;2024;TRUE;Clear;3;89;467;Government of DR Congo (Zaire) - Civilians;89;934;Government of DR Congo (Zaire) - Civilians;89;89;Government of DR Congo (Zaire);9999;1;Civilians;1;"""Radio Okapi,2024-02-02,Bukavu : un militaire condamné à mort pour meurtre d’une femme à Panzi""";Radio Okapi;02/02/2024;Bukavu : un militaire condamné à mort pour meurtre d’une femme à Panzi;The military court in Bukavu;1;Bukavu town;in Panzi/Panzi-Kamagema in the commune of Ibanda, in Bukavu (town);Sud Kivu province;Bukavu territory;-2.508333;28.860833;POINT (28.860833 -2.508333);125698;DR Congo (Zaire);490;Africa;1;1;2024-01-30 00:00:00.000;2024-01-30 00:00:00.000;0;0;1;0;1;1;1;490;
562163;DRC-2024-3-934-42;2024;TRUE;Clear;3;89;467;Government of DR Congo (Zaire) - Civilians;89;934;Government of DR Congo (Zaire) - Civilians;89;89;Government of DR Congo (Zaire);9999;1;Civilians;1;"""Kivu Morning Post,2024-02-23,Irumu: A FARDC soldier takes the life of a journalist near Mungamba""";Kivu Morning Post;23/02/2024;Irumu: A FARDC soldier takes the life of a journalist near Mungamba;According to Josué Kathembo, general manager of Umoja community radio and television station (RTCU) broadcasting;1;Mungamba village;Mungamba;Ituri province;Irumu territory;1.355640;29.564680;POINT (29.56468 1.35564);131460;DR Congo (Zaire);490;Africa;1;1;2024-02-22 00:00:00.000;2024-02-22 00:00:00.000;0;0;1;0;1;1;1;490;
516017;DRC-2024-3-934-3;2024;TRUE;Clear;3;89;467;Government of DR Congo (Zaire) - Civilians;89;934;Government of DR Congo (Zaire) - Civilians;89;89;Government of DR Congo (Zaire);9999;1;Civilians;1;"""Buniaactualité,2024-02-23,Deadly gear in Ituri: yesterday's joy, today's mourning and despair """;Buniaactualité;23/02/2024;Deadly gear in Ituri: yesterday's joy, today's mourning and despair;civil society Territorial Coordination of Mambasa;1;Yolo mining area;in Yolo, in the Babila Bakwanza chiefdom;Ituri province;Mambasa territory;1.068723;29.181426;POINT (29.181426 1.068723);131459;DR Congo (Zaire);490;Africa;1;1;2024-02-22 00:00:00.000;2024-02-22 00:00:00.000;0;0;1;0;1;1;1;490;
565179;DRC-2024-3-934-45;2024;TRUE;Clear;3;89;467;Government of DR Congo (Zaire) - Civilians;89;934;Government of DR Congo (Zaire) - Civilians;89;89;Government of DR Congo (Zaire);9999;1;Civilians;1;"""Kivu Times,2024-02-29,Kabare : Un militaire de la force navale met fin à la vie d’une fille à Kabamba""";Kivu Times;29/02/2024;Kabare : Un militaire de la force navale met fin à la vie d’une fille à Kabamba;According to Emery Murhula of the civil society under the Katana nucleus;1;Kabamba village;Kabamba in the Irhambi KATANA group;Sud Kivu province;Kabare territory;-2.179495;28.858038;POINT (28.858038 -2.179495);126418;DR Congo (Zaire);490;Africa;1;1;2024-02-28 00:00:00.000;2024-02-28 00:00:00.000;0;0;1;0;1;1;1;490;
563500;DRC-2024-3-934-43;2024;TRUE;Clear;3;89;467;Government of DR Congo (Zaire) - Civilians;89;934;Government of DR Congo (Zaire) - Civilians;89;89;Government of DR Congo (Zaire);9999;1;Civilians;1;"""Kivu Morning Post,2024-03-21,North Kivu: FARDC soldier commits suicide after killing a woman in Butembo""";Kivu Morning Post;21/03/2024;North Kivu: FARDC soldier commits suicide after killing a woman in Butembo;Civil society,;1;Butembo town;Rughenda, Bulengera commune, a commercial city of Butembo;Nord Kivu province;Lubero territory;0.150000;29.283333;POINT (29.283333 0.15);130019;DR Congo (Zaire);490;Africa;1;1;2024-03-21 00:00:00.000;2024-03-21 00:00:00.000;0;0;1;0;1;1;1;490;
517211;DRC-2024-3-934-4;2024;TRUE;Clear;3;89;467;Government of DR Congo (Zaire) - Civilians;89;934;Government of DR Congo (Zaire) - Civilians;89;89;Government of DR Congo (Zaire);9999;1;Civilians;1;"""Radio Okapi,2024-03-22,Uvira: paralysis of activities following the murder of a young person""";Radio Okapi;22/03/2024;Uvira: paralysis of activities following the murder of a young person;;1;Kavimvira locality;in Kavimvira area of Uvira city;Sud Kivu province;Uvira territory;-3.344700;29.176400;POINT (29.1764 -3.3447);124979;DR Congo (Zaire);490;Africa;1;1;2024-03-21 00:00:00.000;2024-03-21 00:00:00.000;0;0;1;0;1;1;1;490;
519156;DRC-2024-3-934-7;2024;TRUE;Clear;3;89;467;Government of DR Congo (Zaire) - Civilians;89;934;Government of DR Congo (Zaire) - Civilians;89;89;Government of DR Congo (Zaire);9999;1;Civilians;1;"""Radio Okapi,2024-03-28,Walungu: 3 dead during the clashes between the military and young Wazalendo""";Radio Okapi;28/03/2024;Walungu: 3 dead during the clashes between the military and young Wazalendo;;1;Nyangezi village;Nyangezi, Walungu;Sud Kivu province;Walungu territory;-2.656069;28.869751;POINT (28.869751 -2.656069);125698;DR Congo (Zaire);490;Africa;1;1;2024-03-26 00:00:00.000;2024-03-26 00:00:00.000;0;0;1;0;1;1;1;490;
